sn86054029,The West-Chester gazette.,Pennsylvania--Chester--West Chester,1794,1794,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054029.json
sn86054030,Doniphan prospect.,Missouri--Ripley--Doniphan,1874,1883,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054030.json
sn86054031,"Banner, times and observer.",Missouri--Buchanan--Easton,1870,1879,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054031.json
sn86054032,Current wave.,Missouri--Shannon--Eminence,1884,1978,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054032.json
sn86054034,The new era.,Missouri--Saint Francois--Farmington,1870,1899,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054034.json
sn86054035,The Pioneer farmer.,Missouri--Taney--Forsyth,1870,1878,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054035.json
sn86054036,The advance guard.,Missouri--Madison--Fredericktown,1861,1869,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054036.json
sn86054037,The Farmer and miner.,Missouri--Madison--Fredericktown,1875,1876,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054037.json
sn86054038,The plain dealer.,Missouri--Madison--Fredericktown,1874,1890,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054038.json
sn86054039,The independent press.,Pennsylvania--Mercer--Greenville,1852,1856,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054039.json
sn86054040,West Philadelphia Saturday star.,Pennsylvania--Philadelphia--Philadelphia,1860,1872,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054040.json
sn86054041,Fulton telegraph.,Missouri--Callaway--Fulton,1845,1850,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054041.json
sn86054042,Fulton weekly enterprise.,Missouri--Callaway--Fulton,1873,1881,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054042.json
sn86054043,The South-east Missouri statesman.,Missouri--Pemiscot--Gayoso,1875,1878,http://ec2-107-23-197-2.compute-1.amazonaws.com/lccn/sn86054043.json
