Alabama,sn85025905,Chattanooga daily rebel.,http://chroniclingamerica.loc.gov/lccn/sn85025905.json,3,1865-04-19,1865-04-27,Alabama--Dallas--Selma
Alabama,sn82015209,The Chattanooga Daily Rebel.,http://chroniclingamerica.loc.gov/lccn/sn82015209.json,228,1862-08-09,1864-04-22,Alabama--Dallas--Selma,Georgia--Cobb--Marietta,Tennessee--Hamilton--Chattanooga
Alabama,sn82014371,The daily Chattanooga rebel.,http://chroniclingamerica.loc.gov/lccn/sn82014371.json,41,1864-06-09,1865-04-15,Alabama--Dallas--Selma,Georgia--Spalding--Griffin
Alabama,sn83045160,Memphis daily appeal.,http://chroniclingamerica.loc.gov/lccn/sn83045160.json,8088,1857-01-01,1886-01-27,Alabama--Dallas--Selma,Alabama--Montgomery--Montgomery,Georgia--Bibb--Macon,Georgia--Fulton--Atlanta,Georgia--Spalding--Griffin,Mississippi--De Soto--Hernando,Mississippi--Grenada--Grenada,Mississippi--Hinds--Jackson,Mississippi--Warren--Vicksburg,Tennessee--Shelby--Memphis
Alabama,sn87065610,The progressive farmer and southern farm gazette.,http://chroniclingamerica.loc.gov/lccn/sn87065610.json,47,1910-01-08,1910-12-24,Alabama--Jefferson--Birmingham,Mississippi--Oktibbeha--Starkville,Tennessee--Shelby--Memphis
Alaska,sn96060002,The Alaska citizen.,http://chroniclingamerica.loc.gov/lccn/sn96060002.json,390,1910-04-09,1917-10-01,Alaska--Fairbanks
Alaska,sn84020657,The Alaska daily empire.,http://chroniclingamerica.loc.gov/lccn/sn84020657.json,2613,1912-11-02,1921-04-30,Alaska--Juneau
Alaska,sn84021905,The Alaska prospector.,http://chroniclingamerica.loc.gov/lccn/sn84021905.json,389,1902-02-13,1908-08-13,Alaska--Valdez
Alaska,sn86072239,The Cordova daily times.,http://chroniclingamerica.loc.gov/lccn/sn86072239.json,2408,1914-12-02,1923-04-14,Alaska--Cordova
Alaska,sn96060003,The daily Alaska citizen.,http://chroniclingamerica.loc.gov/lccn/sn96060003.json,167,1918-04-30,1920-01-30,Alaska--Fairbanks
Alaska,sn82014189,The daily Alaskan.,http://chroniclingamerica.loc.gov/lccn/sn82014189.json,4989,1904-03-01,1922-12-30,Alaska--Skagway
Alaska,2017218619,The daily Alaskan. [volume],http://chroniclingamerica.loc.gov/lccn/2017218619.json,12,1898-07-02,1899-02-03,Alaska--Skagway
Alaska,sn87062035,The daily morning Alaskan.,http://chroniclingamerica.loc.gov/lccn/sn87062035.json,989,1899-02-21,1904-02-28,Alaska--Skagway
Alaska,sn98060265,Daily prospector bulletin.,http://chroniclingamerica.loc.gov/lccn/sn98060265.json,2,1907-11-14,1907-11-14,Alaska--Valdez
Alaska,sn84021930,Douglas Island news.,http://chroniclingamerica.loc.gov/lccn/sn84021930.json,1173,1898-11-23,1921-07-01,Alaska--Douglas
Alaska,sn95060032,Iditarod pioneer.,http://chroniclingamerica.loc.gov/lccn/sn95060032.json,427,1910-07-10,1919-11-22,Alaska--Iditarod
Alaska,sn94050030,The morning Alaskan.,http://chroniclingamerica.loc.gov/lccn/sn94050030.json,1,1898-02-01,1898-02-01,Alaska--Skagway
Alaska,sn87062016,"The Seward gateway daily edition, and the Alaska weekly post.",http://chroniclingamerica.loc.gov/lccn/sn87062016.json,1,1918-01-24,1918-01-24,Alaska--Seward--Seward
Alaska,sn93049267,The Stroller's weekly and Douglas Island news.,http://chroniclingamerica.loc.gov/lccn/sn93049267.json,78,1921-07-09,1922-12-30,Alaska--Douglas,Alaska--Juneau
Alaska,sn94050023,The Thlinget. [volume],http://chroniclingamerica.loc.gov/lccn/sn94050023.json,47,1908-08-01,1912-06-01,Alaska--Sitka
Alaska,sn98060264,Valdez daily prospector.,http://chroniclingamerica.loc.gov/lccn/sn98060264.json,1732,1908-07-18,1918-05-07,Alaska--Valdez
Alaska,sn84021940,Valdez weekly prospector.,http://chroniclingamerica.loc.gov/lccn/sn84021940.json,26,1908-08-20,1909-02-25,Alaska--Valdez
Alaska,sn96060004,The weekly Alaska citizen.,http://chroniclingamerica.loc.gov/lccn/sn96060004.json,13,1917-10-08,1917-12-31,Alaska--Fairbanks
Arizona,sn94051341,The argus.,http://chroniclingamerica.loc.gov/lccn/sn94051341.json,220,1895-12-12,1900-05-05,Arizona--Navajo--Holbrook
Arizona,sn82016246,The Arizona champion.,http://chroniclingamerica.loc.gov/lccn/sn82016246.json,449,1883-10-06,1891-05-16,Arizona--Coconino--Flagstaff,Arizona--Mohave--Peach Springs
Arizona,sn82014896,Arizona citizen.,http://chroniclingamerica.loc.gov/lccn/sn82014896.json,488,1870-10-15,1880-04-10,Arizona--Pima--Tucson,Arizona--Pinal--Florence
Arizona,sn94050505,The Arizona daily orb.,http://chroniclingamerica.loc.gov/lccn/sn94050505.json,192,1899-07-15,1900-04-30,Arizona--Cochise--Bisbee
Arizona,sn95060900,The Arizona kicker. [volume],http://chroniclingamerica.loc.gov/lccn/sn95060900.json,2,1893-11-29,1898-10-12,Arizona--Cochise--Tombstone
Arizona,sn82016242,Arizona miner.,http://chroniclingamerica.loc.gov/lccn/sn82016242.json,108,1864-03-09,1868-07-25,Arizona--Yavapai--Fort Whipple,Arizona--Yavapai--Prescott
Arizona,sn84020558,Arizona republican.,http://chroniclingamerica.loc.gov/lccn/sn84020558.json,10547,1890-05-19,1921-12-31,Arizona--Maricopa--Phoenix
Arizona,sn95060876,Arizona sentinel and Yuma weekly examiner.,http://chroniclingamerica.loc.gov/lccn/sn95060876.json,159,1911-09-28,1915-06-03,Arizona--Yuma--Yuma
Arizona,sn95060877,Arizona sentinel Yuma southwest.,http://chroniclingamerica.loc.gov/lccn/sn95060877.json,55,1915-06-10,1916-06-22,Arizona--Yuma--Yuma
Arizona,sn95060878,Arizona sentinel.,http://chroniclingamerica.loc.gov/lccn/sn95060878.json,89,1916-06-29,1918-03-07,Arizona--Yuma--Yuma
Arizona,sn84021912,The Arizona sentinel. [volume],http://chroniclingamerica.loc.gov/lccn/sn84021912.json,2027,1872-03-23,1911-09-21,Arizona--Yuma--Arizona City,Arizona--Yuma--Yuma
Arizona,sn84021913,Arizona silver belt.,http://chroniclingamerica.loc.gov/lccn/sn84021913.json,1439,1878-05-02,1907-09-01,Arizona--Gila--Globe,Arizona--Gila--Miami
Arizona,sn84021917,Arizona sun.,http://chroniclingamerica.loc.gov/lccn/sn84021917.json,793,1944-07-07,1963-12-27,Arizona--Maricopa--Phoenix
Arizona,sn84021918,Arizona tribune.,http://chroniclingamerica.loc.gov/lccn/sn84021918.json,275,1958-07-25,1963-12-27,Arizona--Maricopa--Phoenix
Arizona,sn82015133,Arizona weekly citizen.,http://chroniclingamerica.loc.gov/lccn/sn82015133.json,769,1880-12-25,1896-12-26,Arizona--Pima--Tucson
Arizona,sn94052364,Arizona weekly enterprise.,http://chroniclingamerica.loc.gov/lccn/sn94052364.json,244,1881-08-06,1890-12-27,Arizona--Pima--Tucson,Arizona--Pinal--Florence
Arizona,sn85032938,Arizona weekly journal-miner.,http://chroniclingamerica.loc.gov/lccn/sn85032938.json,864,1886-01-06,1903-03-04,Arizona--Yavapai--Prescott
Arizona,sn82014898,Arizona weekly miner.,http://chroniclingamerica.loc.gov/lccn/sn82014898.json,145,1874-01-02,1877-06-01,Arizona--Yavapai--Prescott
Arizona,sn89077833,Arizona weekly republican.,http://chroniclingamerica.loc.gov/lccn/sn89077833.json,2,1893-01-19,1893-02-23,Arizona--Maricopa--Phoenix
Arizona,sn84024827,Bisbee daily review.,http://chroniclingamerica.loc.gov/lccn/sn84024827.json,6500,1901-12-04,1922-12-31,Arizona--Cochise--Bisbee
Arizona,sn96060796,The border vidette.,http://chroniclingamerica.loc.gov/lccn/sn96060796.json,1038,1897-05-15,1922-12-30,Arizona--Santa Cruz--Nogales
Arizona,sn94050557,The Clifton clarion.,http://chroniclingamerica.loc.gov/lccn/sn94050557.json,181,1885-01-21,1889-08-28,Arizona--Graham--Clifton,Arizona--Greenlee--Clifton
Arizona,sn94050506,Cochise review and Arizona daily orb.,http://chroniclingamerica.loc.gov/lccn/sn94050506.json,8,1900-05-03,1900-05-16,Arizona--Cochise--Bisbee
Arizona,sn94050513,Cochise review.,http://chroniclingamerica.loc.gov/lccn/sn94050513.json,111,1900-05-17,1901-03-09,Arizona--Cochise--Bisbee
Arizona,sn82016245,The Coconino sun.,http://chroniclingamerica.loc.gov/lccn/sn82016245.json,24,1891-05-23,1891-10-29,Arizona--Coconino--Flagstaff
Arizona,sn87062055,The Coconino sun.,http://chroniclingamerica.loc.gov/lccn/sn87062055.json,1302,1898-01-29,1922-12-29,Arizona--Coconino--Flagstaff
Arizona,sn87062054,The Coconino weekly sun.,http://chroniclingamerica.loc.gov/lccn/sn87062054.json,238,1891-11-05,1896-11-26,Arizona--Coconino--Flagstaff
Arizona,sn94050892,The copper era and Morenci leader.,http://chroniclingamerica.loc.gov/lccn/sn94050892.json,572,1911-12-01,1922-12-29,Arizona--Greenlee--Clifton
Arizona,sn89053851,The copper era.,http://chroniclingamerica.loc.gov/lccn/sn89053851.json,546,1899-06-01,1911-11-24,Arizona--Graham--Clifton
Arizona,sn87082863,Daily Arizona silver belt.,http://chroniclingamerica.loc.gov/lccn/sn87082863.json,1037,1907-01-02,1910-05-26,Arizona--Gila--Globe,Arizona--Gila--Miami
Arizona,sn96060682,Daily Tombstone epitaph.,http://chroniclingamerica.loc.gov/lccn/sn96060682.json,231,1885-12-22,1887-05-07,Arizona--Cochise--Tombstone
Arizona,sn94052361,The Daily Tombstone.,http://chroniclingamerica.loc.gov/lccn/sn94052361.json,344,1885-09-01,1886-12-07,Arizona--Cochise--Tombstone
Arizona,sn94050554,The Flagstaff sun-democrat.,http://chroniclingamerica.loc.gov/lccn/sn94050554.json,46,1897-01-07,1897-11-18,Arizona--Coconino--Flagstaff
Arizona,sn94050572,The Florence tribune.,http://chroniclingamerica.loc.gov/lccn/sn94050572.json,238,1892-08-25,1901-12-28,Arizona--Pinal--Florence
Arizona,sn95070521,El fronterizo. [volume],http://chroniclingamerica.loc.gov/lccn/sn95070521.json,553,1882-01-06,1908-07-25,Arizona--Pima--Tucson
Arizona,sn95060914,Graham guardian.,http://chroniclingamerica.loc.gov/lccn/sn95060914.json,1329,1895-03-09,1922-12-26,Arizona--Graham--Safford
Arizona,sn94051342,Holbrook argus.,http://chroniclingamerica.loc.gov/lccn/sn94051342.json,618,1900-05-12,1913-02-04,Arizona--Navajo--Holbrook
Arizona,sn95060791,The Holbrook news.,http://chroniclingamerica.loc.gov/lccn/sn95060791.json,706,1909-05-14,1922-12-29,Arizona--Navajo--Holbrook
Arizona,sn96060547,Mohave County miner and our mineral wealth.,http://chroniclingamerica.loc.gov/lccn/sn96060547.json,227,1918-08-10,1922-12-01,Arizona--Mohave--Kingman
Arizona,sn84024828,Mohave County miner.,http://chroniclingamerica.loc.gov/lccn/sn84024828.json,1824,1882-11-05,1918-08-03,Arizona--Mohave--Mineral Park
Arizona,sn97060147,El mosquito.,http://chroniclingamerica.loc.gov/lccn/sn97060147.json,263,1919-04-06,1925-11-18,Arizona--Pima--Tucson
Arizona,sn85032933,The oasis.,http://chroniclingamerica.loc.gov/lccn/sn85032933.json,990,1893-05-11,1912-12-28,Arizona--Cochise--Benson,Arizona--Pinal--Arizola,Arizona--Santa Cruz--Nogales
Arizona,sn87062082,The Phoenix herald.,http://chroniclingamerica.loc.gov/lccn/sn87062082.json,115,1879-03-05,1882-09-15,Arizona--Maricopa--Phoenix
Arizona,sn96060881,Phoenix tribune.,http://chroniclingamerica.loc.gov/lccn/sn96060881.json,284,1918-08-03,1931-03-01,Arizona--Maricopa--Phoenix
Arizona,sn83025460,Phoenix weekly herald.,http://chroniclingamerica.loc.gov/lccn/sn83025460.json,65,1896-05-07,1898-11-24,Arizona--Maricopa--Phoenix
Arizona,sn2004060008,Safford rattler.,http://chroniclingamerica.loc.gov/lccn/sn2004060008.json,4,1896-09-02,1896-09-23,Arizona--Graham--Safford
Arizona,sn87062081,Salt River herald.,http://chroniclingamerica.loc.gov/lccn/sn87062081.json,63,1878-01-26,1879-03-01,Arizona--Maricopa--Phoenix
Arizona,sn94050555,The Skylight kicker.,http://chroniclingamerica.loc.gov/lccn/sn94050555.json,6,1897-11-25,1897-12-30,Arizona--Coconino--Flagstaff
Arizona,sn95060581,Snips and the St. Johns herald.,http://chroniclingamerica.loc.gov/lccn/sn95060581.json,76,1903-03-19,1904-12-31,Arizona--Apache--Saint Johns
Arizona,sn95060580,Snips.,http://chroniclingamerica.loc.gov/lccn/sn95060580.json,1,1902-12-18,1902-12-18,Arizona--Apache--Saint Johns
Arizona,sn95060582,St. Johns herald and Apache news. [volume],http://chroniclingamerica.loc.gov/lccn/sn95060582.json,495,1906-10-11,1917-03-22,Arizona--Apache--Saint Johns
Arizona,sn95060583,The St. Johns herald.,http://chroniclingamerica.loc.gov/lccn/sn95060583.json,261,1917-03-29,1922-12-28,Arizona--Apache--Saint Johns
Arizona,sn94051692,The St. Johns herald.,http://chroniclingamerica.loc.gov/lccn/sn94051692.json,846,1885-02-12,1902-02-22,Arizona--Apache--Saint Johns
Arizona,sn96060681,Tombstone daily epitaph.,http://chroniclingamerica.loc.gov/lccn/sn96060681.json,106,1889-08-01,1889-12-01,Arizona--Cochise--Tombstone
Arizona,sn95060902,Tombstone daily prospector.,http://chroniclingamerica.loc.gov/lccn/sn95060902.json,238,1889-01-01,1891-03-05,Arizona--Cochise--Tombstone
Arizona,sn82016455,The Tombstone epitaph.,http://chroniclingamerica.loc.gov/lccn/sn82016455.json,1,1882-03-07,1882-03-07,Arizona--Cochise--Tombstone,Arizona--Pima--Tombstone
Arizona,sn95060905,Tombstone epitaph.,http://chroniclingamerica.loc.gov/lccn/sn95060905.json,1710,1887-08-06,1922-12-31,Arizona--Cochise--Tombstone
Arizona,sn84021939,The Tombstone epitaph.,http://chroniclingamerica.loc.gov/lccn/sn84021939.json,26,1881-12-19,1882-06-17,Arizona--Cochise--Tombstone,Arizona--Pima--Tombstone
Arizona,sn95060903,Tombstone prospector.,http://chroniclingamerica.loc.gov/lccn/sn95060903.json,404,1896-06-26,1899-12-30,Arizona--Cochise--Tombstone
Arizona,sn95060906,Tombstone weekly epitaph.,http://chroniclingamerica.loc.gov/lccn/sn95060906.json,26,1882-06-24,1882-12-16,Arizona--Cochise--Tombstone
Arizona,sn96060683,The Tombstone.,http://chroniclingamerica.loc.gov/lccn/sn96060683.json,140,1885-03-21,1885-08-31,Arizona--Cochise--Tombstone
Arizona,sn82016240,Weekly Arizona citizen.,http://chroniclingamerica.loc.gov/lccn/sn82016240.json,26,1880-06-19,1880-12-18,Arizona--Pima--Tucson
Arizona,sn85032920,Weekly Arizona journal-miner.,http://chroniclingamerica.loc.gov/lccn/sn85032920.json,274,1903-03-11,1908-09-23,Arizona--Yavapai--Prescott
Arizona,sn82014897,The weekly Arizona miner.,http://chroniclingamerica.loc.gov/lccn/sn82014897.json,297,1877-06-08,1885-08-14,Arizona--Yavapai--Prescott
Arizona,sn82014899,The weekly Arizona miner.,http://chroniclingamerica.loc.gov/lccn/sn82014899.json,279,1868-08-01,1873-12-26,Arizona--Yavapai--Prescott
Arizona,sn84024829,The Weekly Arizonian.,http://chroniclingamerica.loc.gov/lccn/sn84024829.json,97,1869-03-21,1871-04-29,Arizona--Pima--Tucson
Arizona,sn82014067,The weekly Arizonian.,http://chroniclingamerica.loc.gov/lccn/sn82014067.json,32,1859-03-03,1859-11-17,Arizona--Pima--Tucson,Arizona--Santa Cruz--Tubac
Arizona,sn85032923,Weekly journal-miner.,http://chroniclingamerica.loc.gov/lccn/sn85032923.json,746,1908-09-30,1922-12-27,Arizona--Yavapai--Prescott
Arizona,sn94050504,The Weekly orb.,http://chroniclingamerica.loc.gov/lccn/sn94050504.json,63,1898-04-10,1899-09-24,Arizona--Cochise--Bisbee
Arizona,sn83025459,Weekly Phoenix herald.,http://chroniclingamerica.loc.gov/lccn/sn83025459.json,128,1882-09-22,1885-04-02,Arizona--Maricopa--Phoenix
